Operation,Size,Time(ms)
Insert,100,0
Retrieve,100,0
Remove,100,0
Insert,1000,5
Retrieve,1000,0
Remove,1000,0
Insert,10000,61
Retrieve,10000,2
Remove,10000,15

Collision Handling Method: Separate Chaining
Operation,Size,Time(ms)
Insert,100,0
Retrieve,100,0
Remove,100,0
Insert,1000,3
Retrieve,1000,0
Remove,1000,0
Insert,10000,42
Retrieve,10000,2
Remove,10000,7

Collision Handling Method: Linear Probing
Operation,Size,Time(ms)
Insert,100,1
Retrieve,100,0
Remove,100,0
Insert,1000,5
Retrieve,1000,0
Remove,1000,0
Insert,10000,55
Retrieve,10000,3
Remove,10000,4

Collision Handling Method: Quadratic Probing
Operation,Size,Time(ms)
Insert,100,2
Retrieve,100,0
Remove,100,0
Insert,1000,6
Retrieve,1000,0
Remove,1000,0
Insert,10000,51
Retrieve,10000,5
Remove,10000,7

Collision Handling Method: Double Hashing
Operation,Size,Time(ms)
Insert,100,2
Retrieve,100,0
Remove,100,0

Collision Handling Method: Double Hashing
Operation,Size,Time(ms)
Insert,100,1
Retrieve,100,0
Remove,100,0

Collision Handling Method: Double Hashing
Operation,Size,Time(ms)
Insert,100,1
Retrieve,100,0
Remove,100,0
Insert,1000,11
Retrieve,1000,0
Remove,1000,0
Insert,10000,47
Retrieve,10000,9
Remove,10000,8

Collision Handling Method: Quadratic Probing
Operation,Size,Time(ms)
Insert,100,3
Retrieve,100,0
Remove,100,0
Insert,1000,14
Retrieve,1000,0
Remove,1000,0
Insert,10000,48
Retrieve,10000,6
Remove,10000,5

Collision Handling Method: Linear Probing
Operation,Size,Time(ms)
Insert,100,3
Retrieve,100,0
Remove,100,0
Insert,1000,13
Retrieve,1000,0
Remove,1000,1
Insert,10000,48
Retrieve,10000,9
Remove,10000,5

Collision Handling Method: Separate Chaining
Operation,Size,Time(ms)
Insert,100,3
Retrieve,100,0
Remove,100,0
Insert,1000,14
Retrieve,1000,0
Remove,1000,1
Insert,10000,45
Retrieve,10000,2
Remove,10000,12

Collision Handling Method: Separate Chaining
Operation,Size,Time(ms)
Insert,100,7
Retrieve,100,0
Remove,100,0
Insert,1000,11
Retrieve,1000,0
Remove,1000,1
Insert,10000,36
Retrieve,10000,2
Remove,10000,13

Collision Handling Method: Linear Probing
Operation,Size,Time(ms)
Insert,100,3
Retrieve,100,0
Remove,100,0
Insert,1000,14
Retrieve,1000,0
Remove,1000,0
Insert,10000,54
Retrieve,10000,9
Remove,10000,5

Collision Handling Method: Quadratic Probing
Operation,Size,Time(ms)
Insert,100,2
Retrieve,100,0
Remove,100,0
Insert,1000,11
Retrieve,1000,0
Remove,1000,0
Insert,10000,44
Retrieve,10000,5
Remove,10000,4

Collision Handling Method: Double Hashing
Operation,Size,Time(ms)
Insert,100,2
Retrieve,100,0
Remove,100,0
Insert,1000,10
Retrieve,1000,0
Remove,1000,0
Insert,10000,41
Retrieve,10000,5
Remove,10000,5


Collision Handling Method: Separate Chaining
Operation,Size,Time(ms)
Insert,100,3
Retrieve,100,0
Remove,100,0
Insert,1000,12
Retrieve,1000,0
Remove,1000,0
Insert,10000,36
Retrieve,10000,2
Remove,10000,10

Collision Handling Method: Linear Probing
Operation,Size,Time(ms)
Insert,100,0
Retrieve,100,0
Remove,100,0
Insert,1000,8
Retrieve,1000,0
Remove,1000,0
Insert,10000,45
Retrieve,10000,7
Remove,10000,4

Collision Handling Method: Quadratic Probing
Operation,Size,Time(ms)
Insert,100,1
Retrieve,100,0
Remove,100,0
Insert,1000,10
Retrieve,1000,0
Remove,1000,0
Insert,10000,47
Retrieve,10000,5
Remove,10000,4

Collision Handling Method: Double Hashing
Operation,Size,Time(ms)
Insert,100,3
Retrieve,100,0
Remove,100,0
Insert,1000,9
Retrieve,1000,0
Remove,1000,0
Insert,10000,53
Retrieve,10000,7
Remove,10000,5
